,codigo_pais,ano,populacao,gdp
0,AFG,2004,23553554,5224896718.67782
1,AFG,2005,24411196,6203256497.09044
2,AFG,2006,25442946,6971758332.88917
3,AFG,2007,25903306,9747886104.53251
4,AFG,2008,26427204,10109296957.6569
5,AFG,2009,27385310,12416152648.0573
6,AFG,2010,28189672,15856668496.388
7,AFG,2011,29249156,17805098367.2952
8,AFG,2012,30466484,19907329905.9776
9,AFG,2013,31541216,20146416876.3886
10,AFG,2014,32716214,20497128600.3363
11,AFG,2015,33753500,19134221744.5294
12,AFG,2016,34636212,18116572399.1298
13,AFG,2017,35643420,18753456506.5708
14,AFG,2018,36686788,18053222734.8881
15,AFG,2019,37769496,18799444414.5998
16,ALB,2004,3062629,7184685781.51876
17,ALB,2005,3032636,8052077248.14638
18,ALB,2006,3003391,8896075004.63516
19,ALB,2007,2976089,10677324852.8822
20,ALB,2008,2951690,12881352893.6855
21,ALB,2009,2930553,12044205549.6571
22,ALB,2010,2913402,11926926615.8015
23,ALB,2011,2900660,12890760315.146
24,ALB,2012,2892191,12319834195.331
25,ALB,2013,2887019,12776224496.9718
26,ALB,2014,2884100,13228147516.1168
27,ALB,2015,2882482,11386853113.0189
28,ALB,2016,2881064,11861199830.8396
29,ALB,2017,2879361,13019726211.7369
30,ALB,2018,2877019,15156424015.1977
31,ALB,2019,2873883,15401826127.2539
32,DZA,2004,32510184,85332581188.6107
33,DZA,2005,32956690,103198212442.69
34,DZA,2006,33435082,117027280155.386
35,DZA,2007,33983836,134977082623.78
36,DZA,2008,34569592,171000699876.747
37,DZA,2009,35196040,137211003661.699
38,DZA,2010,35856348,161207307027.185
39,DZA,2011,36543548,200013098817.25
40,DZA,2012,37260568,209059080929.499
41,DZA,2013,38000628,209755003250.664
42,DZA,2014,38760168,213809979836.314
43,DZA,2015,39543148,165979224866.131
44,DZA,2016,40339328,160034212126.018
45,DZA,2017,41136548,170096988531.906
46,DZA,2018,41927008,174910684781.571
47,DZA,2019,42705372,171760275466.61
48,ASM,2004,57653,509000000.0
49,ASM,2005,57277,500000000.0
50,ASM,2006,56857,493000000.0
51,ASM,2007,56402,518000000.0
52,ASM,2008,55909,560000000.0
53,ASM,2009,55386,675000000.0
54,ASM,2010,54871,573000000.0
55,ASM,2011,54334,570000000.0
56,ASM,2012,53718,640000000.0
57,ASM,2013,53017,638000000.0
58,ASM,2014,52234,643000000.0
59,ASM,2015,51391,673000000.0
60,ASM,2016,50468,671000000.0
61,ASM,2017,49486,612000000.0
62,ASM,2018,48445,639000000.0
63,ASM,2019,47341,647000000.0
64,AND,2004,76950,2895047587.11888
65,AND,2005,79845,3159826891.50873
66,AND,2006,80241,3456264324.63015
67,AND,2007,78187,3952395030.09698
68,AND,2008,76073,4085780202.87838
69,AND,2009,73879,3674190066.44504
70,AND,2010,71542,3449925693.58181
71,AND,2011,70587,3629133062.55168
72,AND,2012,71035,3188653258.61001
73,AND,2013,71385,3193513470.43941
74,AND,2014,71644,3271686452.47686
75,AND,2015,71766,2789882569.1005
76,AND,2016,72563,2896611878.6258
77,AND,2017,73853,3000160414.63795
78,AND,2018,75034,3218418631.67579
79,AND,2019,76361,3155150255.91195
80,AGO,2004,18771128,23552057820.4599
81,AGO,2005,19450962,36970901023.7893
82,AGO,2006,20162338,52381025102.321
83,AGO,2007,20909692,65266415706.9741
84,AGO,2008,21691524,88538664884.265
85,AGO,2009,22507674,70307196474.1272
86,AGO,2010,23364196,83799473759.7201
87,AGO,2011,24259120,111789747670.59
88,AGO,2012,25188298,128052915202.989
89,AGO,2013,26147012,132339108708.408
90,AGO,2014,27128340,135966802156.542
91,AGO,2015,28127724,90496420626.179
92,AGO,2016,29154742,52761617225.9253
93,AGO,2017,30208634,73690155046.555
94,AGO,2018,31273538,79450688232.0011
95,AGO,2019,32353592,70897962712.6213
96,ATG,2004,78955,919729629.62963
97,ATG,2005,79879,1022962962.96296
98,ATG,2006,80909,1157662962.96296
99,ATG,2007,82035,1312759259.25926
100,ATG,2008,83267,1370070370.37037
101,ATG,2009,84546,1228329629.62963
102,ATG,2010,85710,1148700000.0
103,ATG,2011,86749,1281337037.03704
104,ATG,2012,87688,1327107407.40741
105,ATG,2013,88512,1325425925.92593
106,ATG,2014,89252,1378829629.62963
107,ATG,2015,89958,1437755555.55556
108,ATG,2016,90575,1489692592.59259
109,ATG,2017,91133,1531151851.85185
110,ATG,2018,91644,1661529629.62963
111,ATG,2019,92127,1725351851.85185
112,ARG,2004,38668796,164657930452.787
113,ARG,2005,39070504,198737095012.282
114,ARG,2006,39476856,232557260817.308
115,ARG,2007,39876116,287530508430.568
116,ARG,2008,40273768,361558037110.419
117,ARG,2009,40684344,332976484577.619
118,ARG,2010,41100124,423627422092.49
119,ARG,2011,41520736,530158122010.442
120,ARG,2012,41952364,545982375701.128
121,ARG,2013,42388268,552025140252.246
122,ARG,2014,42824064,526319673731.638
123,ARG,2015,43257064,594749285413.212
124,ARG,2016,43668236,557532320662.955
125,ARG,2017,44054616,643628393281.364
126,ARG,2018,44413592,524819892360.176
127,ARG,2019,44745516,447754683615.225
128,ARM,2004,3065748,3576615240.41616
129,ARM,2005,3047254,4900469511.10191
130,ARM,2006,3026490,6384452066.5146
131,ARM,2007,3004398,9206301269.79164
132,ARM,2008,2983425,11662040713.8753
133,ARM,2009,2964300,8647937081.2562
134,ARM,2010,2946296,9260285755.62424
135,ARM,2011,2928984,10142111824.5835
136,ARM,2012,2914428,10619320682.9474
137,ARM,2013,2901386,11121464437.0415
138,ARM,2014,2889937,11609513246.7958
139,ARM,2015,2878598,10553337518.414
140,ARM,2016,2865841,10546136235.5219
141,ARM,2017,2851929,11527458709.0158
142,ARM,2018,2836563,12457940694.7395
143,ARM,2019,2820604,13619290539.2116
144,ABW,2004,93554,2254830726.25698
145,ABW,2005,94495,2360017318.43575
146,ABW,2006,95621,2469782681.56425
147,ABW,2007,96797,2677641340.78212
148,ABW,2008,98006,2843024581.00559
149,ABW,2009,99223,2553793296.08939
150,ABW,2010,100354,2453597206.70391
151,ABW,2011,101304,2637859217.87709
152,ABW,2012,102126,2615208379.88827
