,pais,ano,quantidade_de_vinho_exportada_em_kg,valor_vendido_em_vinho_em_usd,codigo_pais
0,Alemanha,2004,13589.0,28140,DEU
1,Angola,2004,37573.0,50382,AGO
2,Anguilla,2004,0.0,0,AIA
3,Antígua e Barbuda,2004,0.0,0,ATG
4,Argentina,2004,0.0,0,ARG
5,Aruba,2004,0.0,0,ABW
6,Austrália,2004,0.0,0,AUS
7,Bahamas,2004,0.0,0,BHS
8,Bahrein,2004,0.0,0,BHR
9,Barbados,2004,0.0,0,BRB
10,Belize,2004,0.0,0,BLZ
11,Benin,2004,0.0,0,BEN
12,Bolívia,2004,18536.0,10655,BOL
13,Bulgária,2004,0.0,0,BGR
14,Bélgica,2004,0.0,0,BEL
15,Cabo Verde,2004,0.0,0,CPV
16,Camarões,2004,0.0,0,CMR
17,Canadá,2004,675.0,3138,CAN
18,Chile,2004,0.0,0,CHL
19,China,2004,404.0,1118,CHN
20,Chipre,2004,0.0,0,CYP
21,Colômbia,2004,280.0,595,COL
22,Congo,2004,0.0,0,COG
23,Coreia do Sul,2004,0.0,0,KOR
24,Costa Rica,2004,0.0,0,CRI
25,Costa do Marfim,2004,0.0,0,CIV
26,Cuba,2004,0.0,0,CUB
27,Curaçao,2004,0.0,0,CUW
28,Dinamarca,2004,3780.0,11088,DNK
29,El Salvador,2004,0.0,0,SLV
30,Emirados Árabes,2004,0.0,0,ARE
31,Equador,2004,0.0,0,ECU
32,Eslováquia,2004,0.0,0,SVK
33,Espanha,2004,0.0,0,ESP
34,Estados Unidos,2004,98265.0,293491,USA
35,Estônia,2004,0.0,0,EST
36,Filipinas,2004,0.0,0,PHL
37,Finlândia,2004,16335.0,32307,FIN
38,França,2004,1497.0,7788,FRA
39,Gana,2004,162.0,774,GHA
40,Gibraltar,2004,0.0,0,GIB
41,Grécia,2004,0.0,0,GRC
42,Guatemala,2004,0.0,0,GTM
43,Guiana,2004,0.0,0,GUY
44,Guiné Equatorial,2004,0.0,0,GNQ
45,Guiné-Bissau,2004,0.0,0,GNB
46,Haiti,2004,0.0,0,HTI
47,Holanda,2004,17688.0,29556,NLD
48,Honduras,2004,0.0,0,HND
49,Hong Kong,2004,0.0,0,HKG
50,Hungria,2004,0.0,0,HUN
51,Ilha de Man,2004,0.0,0,IMN
52,Ilhas Cayman,2004,0.0,0,CYM
