,tipo_de_vinho,categoria_do_vinho,ano,quantidade_de_vinho_produzida_em_kg
0,VINHO DE MESA,VINHO DE MESA,2004,313962284
1,Tinto,VINHO DE MESA,2004,254172425
2,Branco,VINHO DE MESA,2004,51719967
3,Rosado,VINHO DE MESA,2004,8069892
4,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2004,42902608
5,Tinto,VINHO FINO DE MESA (VINÍFERA),2004,23062182
6,Branco,VINHO FINO DE MESA (VINÍFERA),2004,19803647
7,Rosado,VINHO FINO DE MESA (VINÍFERA),2004,36779
8,VINHO DE MESA,VINHO DE MESA,2005,226080432
9,Tinto,VINHO DE MESA,2005,180698666
10,Branco,VINHO DE MESA,2005,39212146
11,Rosado,VINHO DE MESA,2005,6169620
12,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2005,45453898
13,Tinto,VINHO FINO DE MESA (VINÍFERA),2005,25409805
14,Branco,VINHO FINO DE MESA (VINÍFERA),2005,20012363
15,Rosado,VINHO FINO DE MESA (VINÍFERA),2005,31730
16,VINHO DE MESA,VINHO DE MESA,2006,185100887
17,Tinto,VINHO DE MESA,2006,149552555
18,Branco,VINHO DE MESA,2006,31738390
19,Rosado,VINHO DE MESA,2006,3809942
20,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2006,32168977
21,Tinto,VINHO FINO DE MESA (VINÍFERA),2006,18868108
22,Branco,VINHO FINO DE MESA (VINÍFERA),2006,13249969
23,Rosado,VINHO FINO DE MESA (VINÍFERA),2006,50900
24,VINHO DE MESA,VINHO DE MESA,2007,275287908
25,Tinto,VINHO DE MESA,2007,228156220
26,Branco,VINHO DE MESA,2007,42118552
27,Rosado,VINHO DE MESA,2007,5013136
28,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),2007,43176484
29,Tinto,VINHO FINO DE MESA (VINÍFERA),2007,24786071
30,Branco,VINHO FINO DE MESA (VINÍFERA),2007,17598428
31,Rosado,VINHO FINO DE MESA (VINÍFERA),2007,791985
