,pais,ano,quantidade_de_vinho_exportada_em_kg,valor_vendido_em_vinho_em_usd,codigo_pais,tipo_de_vinho,categoria_do_vinho,quantidade_de_vinho_produzida_em_kg
0,Alemanha,2004,13589.0,28140,DEU,VINHO DE MESA,VINHO DE MESA,313962284
1,Alemanha,2004,13589.0,28140,DEU,Tinto,VINHO DE MESA,254172425
2,Alemanha,2004,13589.0,28140,DEU,Branco,VINHO DE MESA,51719967
3,Alemanha,2004,13589.0,28140,DEU,Rosado,VINHO DE MESA,8069892
4,Alemanha,2004,13589.0,28140,DEU,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
5,Alemanha,2004,13589.0,28140,DEU,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
6,Alemanha,2004,13589.0,28140,DEU,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
7,Alemanha,2004,13589.0,28140,DEU,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
8,Angola,2004,37573.0,50382,AGO,VINHO DE MESA,VINHO DE MESA,313962284
9,Angola,2004,37573.0,50382,AGO,Tinto,VINHO DE MESA,254172425
10,Angola,2004,37573.0,50382,AGO,Branco,VINHO DE MESA,51719967
11,Angola,2004,37573.0,50382,AGO,Rosado,VINHO DE MESA,8069892
12,Angola,2004,37573.0,50382,AGO,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
13,Angola,2004,37573.0,50382,AGO,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
14,Angola,2004,37573.0,50382,AGO,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
15,Angola,2004,37573.0,50382,AGO,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
16,Anguilla,2004,0.0,0,AIA,VINHO DE MESA,VINHO DE MESA,313962284
17,Anguilla,2004,0.0,0,AIA,Tinto,VINHO DE MESA,254172425
18,Anguilla,2004,0.0,0,AIA,Branco,VINHO DE MESA,51719967
19,Anguilla,2004,0.0,0,AIA,Rosado,VINHO DE MESA,8069892
20,Anguilla,2004,0.0,0,AIA,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
21,Anguilla,2004,0.0,0,AIA,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
22,Anguilla,2004,0.0,0,AIA,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
23,Anguilla,2004,0.0,0,AIA,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
24,Antígua e Barbuda,2004,0.0,0,ATG,VINHO DE MESA,VINHO DE MESA,313962284
25,Antígua e Barbuda,2004,0.0,0,ATG,Tinto,VINHO DE MESA,254172425
26,Antígua e Barbuda,2004,0.0,0,ATG,Branco,VINHO DE MESA,51719967
27,Antígua e Barbuda,2004,0.0,0,ATG,Rosado,VINHO DE MESA,8069892
28,Antígua e Barbuda,2004,0.0,0,ATG,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
29,Antígua e Barbuda,2004,0.0,0,ATG,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
30,Antígua e Barbuda,2004,0.0,0,ATG,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
31,Antígua e Barbuda,2004,0.0,0,ATG,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
32,Argentina,2004,0.0,0,ARG,VINHO DE MESA,VINHO DE MESA,313962284
33,Argentina,2004,0.0,0,ARG,Tinto,VINHO DE MESA,254172425
34,Argentina,2004,0.0,0,ARG,Branco,VINHO DE MESA,51719967
35,Argentina,2004,0.0,0,ARG,Rosado,VINHO DE MESA,8069892
36,Argentina,2004,0.0,0,ARG,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
37,Argentina,2004,0.0,0,ARG,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
38,Argentina,2004,0.0,0,ARG,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
39,Argentina,2004,0.0,0,ARG,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
40,Aruba,2004,0.0,0,ABW,VINHO DE MESA,VINHO DE MESA,313962284
41,Aruba,2004,0.0,0,ABW,Tinto,VINHO DE MESA,254172425
42,Aruba,2004,0.0,0,ABW,Branco,VINHO DE MESA,51719967
43,Aruba,2004,0.0,0,ABW,Rosado,VINHO DE MESA,8069892
44,Aruba,2004,0.0,0,ABW,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
45,Aruba,2004,0.0,0,ABW,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
46,Aruba,2004,0.0,0,ABW,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
47,Aruba,2004,0.0,0,ABW,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
48,Austrália,2004,0.0,0,AUS,VINHO DE MESA,VINHO DE MESA,313962284
49,Austrália,2004,0.0,0,AUS,Tinto,VINHO DE MESA,254172425
50,Austrália,2004,0.0,0,AUS,Branco,VINHO DE MESA,51719967
51,Austrália,2004,0.0,0,AUS,Rosado,VINHO DE MESA,8069892
52,Austrália,2004,0.0,0,AUS,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
53,Austrália,2004,0.0,0,AUS,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
54,Austrália,2004,0.0,0,AUS,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
55,Austrália,2004,0.0,0,AUS,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
56,Bahamas,2004,0.0,0,BHS,VINHO DE MESA,VINHO DE MESA,313962284
57,Bahamas,2004,0.0,0,BHS,Tinto,VINHO DE MESA,254172425
58,Bahamas,2004,0.0,0,BHS,Branco,VINHO DE MESA,51719967
59,Bahamas,2004,0.0,0,BHS,Rosado,VINHO DE MESA,8069892
60,Bahamas,2004,0.0,0,BHS,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
61,Bahamas,2004,0.0,0,BHS,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
62,Bahamas,2004,0.0,0,BHS,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
63,Bahamas,2004,0.0,0,BHS,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
64,Bahrein,2004,0.0,0,BHR,VINHO DE MESA,VINHO DE MESA,313962284
65,Bahrein,2004,0.0,0,BHR,Tinto,VINHO DE MESA,254172425
66,Bahrein,2004,0.0,0,BHR,Branco,VINHO DE MESA,51719967
67,Bahrein,2004,0.0,0,BHR,Rosado,VINHO DE MESA,8069892
68,Bahrein,2004,0.0,0,BHR,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
69,Bahrein,2004,0.0,0,BHR,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
70,Bahrein,2004,0.0,0,BHR,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
71,Bahrein,2004,0.0,0,BHR,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
72,Barbados,2004,0.0,0,BRB,VINHO DE MESA,VINHO DE MESA,313962284
73,Barbados,2004,0.0,0,BRB,Tinto,VINHO DE MESA,254172425
74,Barbados,2004,0.0,0,BRB,Branco,VINHO DE MESA,51719967
75,Barbados,2004,0.0,0,BRB,Rosado,VINHO DE MESA,8069892
76,Barbados,2004,0.0,0,BRB,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
77,Barbados,2004,0.0,0,BRB,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
78,Barbados,2004,0.0,0,BRB,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
79,Barbados,2004,0.0,0,BRB,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
80,Belize,2004,0.0,0,BLZ,VINHO DE MESA,VINHO DE MESA,313962284
81,Belize,2004,0.0,0,BLZ,Tinto,VINHO DE MESA,254172425
82,Belize,2004,0.0,0,BLZ,Branco,VINHO DE MESA,51719967
83,Belize,2004,0.0,0,BLZ,Rosado,VINHO DE MESA,8069892
84,Belize,2004,0.0,0,BLZ,VINHO FINO DE MESA (VINÍFERA),VINHO FINO DE MESA (VINÍFERA),42902608
85,Belize,2004,0.0,0,BLZ,Tinto,VINHO FINO DE MESA (VINÍFERA),23062182
86,Belize,2004,0.0,0,BLZ,Branco,VINHO FINO DE MESA (VINÍFERA),19803647
87,Belize,2004,0.0,0,BLZ,Rosado,VINHO FINO DE MESA (VINÍFERA),36779
88,Benin,2004,0.0,0,BEN,VINHO DE MESA,VINHO DE MESA,313962284
89,Benin,2004,0.0,0,BEN,Tinto,VINHO DE MESA,254172425
